shift,z_dist,strain,gap
0.4,6.928571428571429,1.0053846153846153,"(0.7935761354428352, 1.076160629809448, 0.28258449436661276)"
0.4,6.928571428571429,1.006923076923077,"(0.7691069173957134, 1.043657122251342, 0.27455020485562864)"
0.4,6.928571428571429,1.0084615384615385,"(0.7450544784372932, 1.0116435231277352, 0.26658904469044203)"
0.4,6.928571428571429,1.01,"(0.7205687833209793, 0.9790520832881119, 0.2584832999671326)"
0.4,7.0,0.99,"(0.9457258545300928, 1.394727491613167, 0.44900163708307406)"
0.4,7.0,0.9915384615384615,"(0.9303918948475086, 1.3598207016850976, 0.429428806837589)"
0.4,7.0,0.9930769230769231,"(0.9139519565284449, 1.3253756062474986, 0.4114236497190537)"
0.4,7.0,0.9946153846153846,"(0.9003472624230913, 1.292219292649665, 0.39187203022657374)"
0.4,7.0,0.9961538461538462,"(0.8844070609741248, 1.257955039375134, 0.3735479784010092)"
0.4,7.0,0.9976923076923077,"(0.8698177163797689, 1.2244008818961778, 0.35458316551640895)"
0.4,7.0,0.9992307692307693,"(0.8539561917641343, 1.1906422470198117, 0.33668605525567735)"
0.4,7.0,1.0007692307692309,"(0.8414143413451158, 1.1584537079216883, 0.31703936657657245)"
0.4,7.0,1.0023076923076923,"(0.8271865948819449, 1.1257016406434177, 0.2985150457614728)"
0.4,7.0,1.0038461538461538,"(0.8124721002768669, 1.092529375718867, 0.2800572754420001)"
0.4,7.0,1.0053846153846153,"(0.798465397543991, 1.0599252821044551, 0.26145988456046415)"
0.4,7.0,1.006923076923077,"(0.7763137083877248, 1.027617634708038, 0.25130392632031306)"
0.4,7.0,1.0084615384615385,"(0.7515643171420674, 0.995190558468972, 0.24362624132690455)"
0.4,7.0,1.01,"(0.727388681489842, 0.9631321365646186, 0.2357434550747765)"
